x_min, x_max, y_min, y_max, z_min, z_max, position_increment, sphere_pts, orientation_num, 
-0.2,0.7,-1,1,-0.2,1.5,0.1,50,20,
x, y, z, qx, qy, qz, qw, j1, j2, j3, j4, j5, j6, j7, 
-0.2,0.4,0.4,-0.0287899,-0.330411,-0.198548,0.922268,3.07381,-1.05533,-0.6981,2.01028,0.366463,1.13255,0.221411,
-0.2,0.4,0.4,0.240912,-0.109369,-0.658095,0.704919,2.94569,-0.992604,-0.726024,2.22102,0.230011,-0.24021,0.16961,
-0.2,0.4,0.4,0.0988827,-0.014907,0.0111632,0.994925,2.55074,-1.33301,-0.83772,1.94863,-0.826065,1.25649,0.760608,
-0.2,0.4,0.5,0.512994,0.653328,-0.137939,0.539419,2.97454,-0.621761,-0.6981,2.07821,-1.42352,-0.540487,0.405977,
-0.2,0.4,0.5,0.637035,0.0647065,-0.592918,0.488312,3.12433,-0.401573,-0.642252,2.18808,-0.07283,-0.284018,-0.184672,
-0.2,0.4,0.5,0.549896,0.218207,-0.0961681,0.80047,3.11101,-0.485398,-0.670176,2.00281,-0.970296,0.350385,0.751708,
-0.2,0.4,0.5,-0.0214381,0.556364,-0.50836,0.65694,1.54644,-1.33351,-1.36828,2.10042,-0.77682,-0.191313,0.502438,
-0.2,0.4,0.5,-0.458123,0.0110889,-0.37481,0.805927,1.58713,-1.34616,-1.36828,2.12899,0.551616,0.427769,0.566009,
-0.2,0.4,0.5,-0.146575,-0.385377,-0.753727,0.511758,2.8696,-0.69044,-0.586404,2.17628,1.54869,-0.0596854,0.203662,
-0.2,0.4,0.5,-0.275142,0.233017,0.931199,-0.0535653,3.13074,-0.60457,-0.363012,2.14731,1.54179,-1.36028,0.252878,
-0.2,0.4,0.5,-0.0287899,-0.330411,-0.198548,0.922268,3.11777,-0.652253,-0.6981,1.96653,0.607932,1.45556,0.269715,
-0.2,0.4,0.5,0.240912,-0.109369,-0.658095,0.704919,3.1194,-0.420794,-0.753948,2.14181,0.575796,0.254426,0.401029,
-0.2,0.4,0.6,0.700479,0.509244,-0.424114,0.264815,3.11511,-0.13074,-0.809796,2.05531,-0.759572,-0.723379,-0.00765506,
-0.2,0.4,0.6,-0.240438,0.807583,-0.538418,0.0103137,3.01594,-1.43,0.307164,1.88764,-0.943036,-1.44852,0.779,
-0.2,0.4,0.6,0.512994,0.653328,-0.137939,0.539419,2.90349,-0.436185,-0.614328,1.88073,-1.11364,-0.36845,0.765036,
-0.2,0.4,0.6,0.637035,0.0647065,-0.592918,0.488312,3.13124,-0.0620732,-0.781872,1.96852,0.108097,0.156833,0.056779,
-0.2,0.4,0.6,0.549896,0.218207,-0.0961681,0.80047,2.83395,-0.658458,-0.335088,1.78156,-1.07867,0.990921,0.759527,
-0.2,0.4,0.6,-0.0214381,0.556364,-0.50836,0.65694,1.06039,-1.50559,-1.36828,1.96457,-0.669384,0.114824,0.13441,
-0.2,0.4,0.6,-0.458123,0.0110889,-0.37481,0.805927,1.09324,-1.50642,-1.36828,2.0015,0.8002,0.113517,0.189933,
-0.2,0.4,0.6,-0.146575,-0.385377,-0.753727,0.511758,2.67414,-0.772832,-0.27924,1.96567,1.54683,-0.507154,-0.122271,
-0.2,0.4,0.6,0.240912,-0.109369,-0.658095,0.704919,2.91647,-0.348728,-0.614328,1.93134,0.77125,0.432641,-0.0487928,
-0.2,0.4,0.6,-0.120001,-0.124899,0.946332,-0.272866,3.119,-0.145018,-0.670176,2.08345,1.39436,-0.53247,0.684635,
-0.2,0.4,0.7,0.700479,0.509244,-0.424114,0.264815,3.14038,0.0463741,-0.921492,1.76063,-0.424304,-0.461035,0.420924,
-0.2,0.4,0.7,0.637035,0.0647065,-0.592918,0.488312,3.14123,0.0510659,-0.865644,1.64386,0.153079,0.567214,0.10849,
-0.2,0.4,0.7,-0.143417,-0.591127,0.78482,-0.118565,2.89494,-0.472477,-0.363012,1.82457,0.18486,-1.26566,0.486424,
-0.2,0.4,0.7,-0.0214381,0.556364,-0.50836,0.65694,2.74458,-0.774579,-0.195468,1.71056,-0.0287025,0.0068759,0.780103,
-0.2,0.4,0.7,-0.458123,0.0110889,-0.37481,0.805927,3.1211,-1.35188,0.809796,1.75436,0.993387,0.0553918,0.0952669,
-0.2,0.4,0.7,0.240912,-0.109369,-0.658095,0.704919,3.05032,-0.0864686,-0.781872,1.61306,1.14767,0.858026,-0.259921,
-0.2,0.4,0.7,-0.120001,-0.124899,0.946332,-0.272866,3.13732,0.0640944,-0.809796,1.79278,1.34525,-0.257501,0.284365,
-0.2,0.4,0.8,0.700479,0.509244,-0.424114,0.264815,3.12778,0.0195819,-0.893568,1.35799,-0.413129,-0.0936972,0.558698,
-0.2,0.4,0.8,0.637035,0.0647065,-0.592918,0.488312,3.07718,-0.0913314,-0.642252,1.19809,0.222326,0.919486,-0.257609,
-0.2,0.4,0.8,-0.143417,-0.591127,0.78482,-0.118565,2.96598,-0.29584,-0.390936,1.47294,0.327969,-0.905884,0.438021,
-0.2,0.4,0.8,-0.0214381,0.556364,-0.50836,0.65694,2.89078,-0.568094,-0.13962,1.34091,0.197104,0.296799,0.781227,
