x_min, x_max, y_min, y_max, z_min, z_max, position_increment, sphere_pts, orientation_num, 
-0.2,0.7,-1,1,-0.2,1.5,0.1,50,20,
x, y, z, qx, qy, qz, qw, j1, j2, j3, j4, j5, j6, j7, 
-0.2,-0.4,0.8,0.237461,0.879552,-0.0269431,-0.411429,3.07552,0.833021,-0.642252,1.40357,-1.45386,-1.28526,-0.780507,
-0.2,-0.4,0.8,0.844791,0.310368,-0.426841,-0.0883543,2.94651,0.677715,-0.027924,1.23146,-0.213565,0.928746,-0.769936,
-0.2,-0.4,0.8,0.700479,0.509244,-0.424114,0.264815,2.97643,0.266511,0.530556,1.26845,-0.108174,0.662374,-0.763999,
-0.2,-0.4,0.8,0.512994,0.653328,-0.137939,0.539419,3.00531,0.157711,0.530556,1.25058,-0.293596,0.706329,0.246326,
-0.2,-0.4,0.8,-0.143417,-0.591127,0.78482,-0.118565,2.93526,0.475285,0.251316,1.40303,0.0794159,-0.900302,-0.74672,
-0.2,-0.4,0.8,-0.0214381,0.556364,-0.50836,0.65694,3.12967,-0.0245216,0.83772,1.4651,0.426018,-0.530826,0.062797,
-0.2,-0.4,0.9,0.237461,0.879552,-0.0269431,-0.411429,3.12068,0.337442,-1.17961e-16,0.825752,-1.56461,-0.867648,-0.102102,
-0.2,-0.4,0.9,-0.143417,-0.591127,0.78482,-0.118565,3.12091,0.359627,0.27924,0.87817,-0.12578,-0.510601,-0.77261,
-0.2,-0.4,0.9,-0.0214381,0.556364,-0.50836,0.65694,3.1375,0.136815,0.614328,0.93291,0.599913,-0.0870942,0.00114413,
-0.2,-0.3,-0.1,0.512994,0.653328,-0.137939,0.539419,-0.50982,0.434253,-0.921492,0.750073,-0.14193,-1.16169,-0.510008,
-0.2,-0.3,-0.1,0.817517,-0.0408083,0.498564,0.285366,-0.520611,0.379406,-0.809796,0.343369,0.478225,1.30357,-0.67659,
-0.2,-0.3,-0.1,0.30112,0.734389,0.297968,0.530297,-0.45421,0.503832,-1.36828,0.822487,-0.314089,-1.00853,-0.00596748,
-0.2,-0.3,-0.1,0.084824,0.750203,0.627113,0.19165,-0.515733,0.547135,-1.2845,0.837333,-1.5378,-0.547411,-0.302695,
-0.2,-0.3,-0.1,0.286015,-0.606791,-0.2493,0.698462,-0.450389,-0.211378,1.3962,0.783138,0.283191,0.238736,-0.231478,
-0.2,-0.3,-0.1,0.549896,0.218207,-0.0961681,0.80047,-0.427187,-0.21709,1.3962,0.877885,-1.55632,-0.118466,-0.279826,
-0.2,-0.3,0,0.700479,0.509244,-0.424114,0.264815,-0.514454,0.798874,-1.25658,1.24061,0.924237,-1.25715,-0.663856,
-0.2,-0.3,0,0.761049,0.175511,0.606239,-0.149912,-0.501929,0.822858,-1.36828,1.1498,-0.401191,1.15919,-0.213496,
